#   8Li + 208Pb elastic scattering Elab=31 Mev
# --------- Optical Potential ---------  
#     r(fm)       V(MeV)       W(MeV)
       5.41       -97.0967     0.0000E+00
       5.42       -97.1039     0.0000E+00
       5.43       -97.1110     0.0000E+00
       5.44       -97.1180     0.0000E+00
       5.45       -97.1247     0.0000E+00
       5.46       -97.1313     0.0000E+00
       5.47       -97.1376     0.0000E+00
       5.48       -97.1439     0.0000E+00
       5.49       -97.1498     0.0000E+00
       5.50       -97.1556     0.0000E+00
       5.51       -97.1613     0.0000E+00
       5.52       -97.1667     0.0000E+00
       5.53       -97.1719     0.0000E+00
       5.54       -97.1769     0.0000E+00
       5.55       -97.1816     0.0000E+00
       5.56       -97.1862     0.0000E+00
       5.57       -97.1906     0.0000E+00
       5.58       -97.1946     0.0000E+00
       5.59       -97.1986     0.0000E+00
       5.60       -97.2023     0.0000E+00
       5.61       -97.2057     0.0000E+00
       5.62       -97.2090     0.0000E+00
       5.63       -97.2120     0.0000E+00
       5.64       -97.2147     0.0000E+00
       5.65       -97.2172     0.0000E+00
       5.66       -97.2194     0.0000E+00
       5.67       -97.2214     0.0000E+00
       5.68       -97.2232     0.0000E+00
       5.69       -97.2247     0.0000E+00
       5.70       -97.2259     0.0000E+00
       5.71       -97.2269     0.0000E+00
       5.72       -97.2276     0.0000E+00
       5.73       -97.2281     0.0000E+00
       5.74       -97.2282     0.0000E+00
       5.75       -97.2281     0.0000E+00
       5.76       -97.2277     0.0000E+00
       5.77       -97.2270     0.0000E+00
       5.78       -97.2260     0.0000E+00
       5.79       -97.2247     0.0000E+00
       5.80       -97.2231     0.0000E+00
       5.81       -97.2213     0.0000E+00
       5.82       -97.2191     0.0000E+00
       5.83       -97.2166     0.0000E+00
       5.84       -97.2137     0.0000E+00
       5.85       -97.2106     0.0000E+00
       5.86       -97.2072     0.0000E+00
       5.87       -97.2035     0.0000E+00
       5.88       -97.1993     0.0000E+00
       5.89       -97.1949     0.0000E+00
       5.90       -97.1901     0.0000E+00
       5.91       -97.1849     0.0000E+00
       5.92       -97.1795     0.0000E+00
       5.93       -97.1736     0.0000E+00
       5.94       -97.1674     0.0000E+00
       5.95       -97.1608     0.0000E+00
       5.96       -97.1539     0.0000E+00
       5.97       -97.1466     0.0000E+00
       5.98       -97.1389     0.0000E+00
       5.99       -97.1308     0.0000E+00
       6.00       -97.1224     0.0000E+00
       6.01       -97.1135     0.0000E+00
       6.02       -97.1042     0.0000E+00
       6.03       -97.0945     0.0000E+00
       6.04       -97.0845     0.0000E+00
       6.05       -97.0740     0.0000E+00
       6.06       -97.0631     0.0000E+00
       6.07       -97.0518     0.0000E+00
       6.08       -97.0400     0.0000E+00
       6.09       -97.0278     0.0000E+00
       6.10       -97.0152     0.0000E+00
       6.11       -97.0021     0.0000E+00
       6.12       -96.9885     0.0000E+00
       6.13       -96.9745     0.0000E+00
       6.14       -96.9600     0.0000E+00
       6.15       -96.9451     0.0000E+00
       6.16       -96.9297     0.0000E+00
       6.17       -96.9139     0.0000E+00
       6.18       -96.8975     0.0000E+00
       6.19       -96.8806     0.0000E+00
       6.20       -96.8632     0.0000E+00
       6.21       -96.8453     0.0000E+00
       6.22       -96.8269     0.0000E+00
       6.23       -96.8080     0.0000E+00
       6.24       -96.7885     0.0000E+00
       6.25       -96.7686     0.0000E+00
       6.26       -96.7481     0.0000E+00
       6.27       -96.7270     0.0000E+00
       6.28       -96.7054     0.0000E+00
       6.29       -96.6833     0.0000E+00
       6.30       -96.6605     0.0000E+00
       6.31       -96.6373     0.0000E+00
       6.32       -96.6134     0.0000E+00
       6.33       -96.5889     0.0000E+00
       6.34       -96.5638     0.0000E+00
       6.35       -96.5381     0.0000E+00
       6.36       -96.5119     0.0000E+00
       6.37       -96.4851     0.0000E+00
       6.38       -96.4576     0.0000E+00
       6.39       -96.4295     0.0000E+00
       6.40       -96.4007     0.0000E+00
       6.41       -96.3713     0.0000E+00
       6.42       -96.3412     0.0000E+00
       6.43       -96.3105     0.0000E+00
       6.44       -96.2792     0.0000E+00
       6.45       -96.2470     0.0000E+00
       6.46       -96.2143     0.0000E+00
       6.47       -96.1809     0.0000E+00
       6.48       -96.1468     0.0000E+00
       6.49       -96.1119     0.0000E+00
       6.50       -96.0764     0.0000E+00
       6.51       -96.0402     0.0000E+00
       6.52       -96.0032     0.0000E+00
       6.53       -95.9655     0.0000E+00
       6.54       -95.9270     0.0000E+00
       6.55       -95.8878     0.0000E+00
       6.56       -95.8478     0.0000E+00
       6.57       -95.8070     0.0000E+00
       6.58       -95.7655     0.0000E+00
       6.59       -95.7232     0.0000E+00
       6.60       -95.6800     0.0000E+00
       6.61       -95.6361     0.0000E+00
       6.62       -95.5914     0.0000E+00
       6.63       -95.5458     0.0000E+00
       6.64       -95.4994     0.0000E+00
       6.65       -95.4522     0.0000E+00
       6.66       -95.4040     0.0000E+00
       6.67       -95.3551     0.0000E+00
       6.68       -95.3052     0.0000E+00
       6.69       -95.2545     0.0000E+00
       6.70       -95.2029     0.0000E+00
       6.71       -95.1504     0.0000E+00
       6.72       -95.0970     0.0000E+00
       6.73       -95.0427     0.0000E+00
       6.74       -94.9875     0.0000E+00
       6.75       -94.9313     0.0000E+00
       6.76       -94.8742     0.0000E+00
       6.77       -94.8160     0.0000E+00
       6.78       -94.7570     0.0000E+00
       6.79       -94.6970     0.0000E+00
       6.80       -94.6359     0.0000E+00
       6.81       -94.5739     0.0000E+00
       6.82       -94.5109     0.0000E+00
       6.83       -94.4468     0.0000E+00
       6.84       -94.3818     0.0000E+00
       6.85       -94.3157     0.0000E+00
       6.86       -94.2486     0.0000E+00
       6.87       -94.1803     0.0000E+00
       6.88       -94.1109     0.0000E+00
       6.89       -94.0407     0.0000E+00
       6.90       -93.9691     0.0000E+00
       6.91       -93.8965     0.0000E+00
       6.92       -93.8229     0.0000E+00
       6.93       -93.7481     0.0000E+00
       6.94       -93.6722     0.0000E+00
       6.95       -93.5951     0.0000E+00
       6.96       -93.5168     0.0000E+00
       6.97       -93.4374     0.0000E+00
       6.98       -93.3568     0.0000E+00
       6.99       -93.2750     0.0000E+00
       7.00       -93.1921     0.0000E+00
       7.01       -93.1078     0.0000E+00
       7.02       -93.0224     0.0000E+00
       7.03       -92.9357     0.0000E+00
       7.04       -92.8478     0.0000E+00
       7.05       -92.7586     0.0000E+00
       7.06       -92.6681     0.0000E+00
       7.07       -92.5765     0.0000E+00
       7.08       -92.4834     0.0000E+00
       7.09       -92.3891     0.0000E+00
       7.10       -92.2935     0.0000E+00
       7.11       -92.1964     0.0000E+00
       7.12       -92.0981     0.0000E+00
       7.13       -91.9984     0.0000E+00
       7.14       -91.8974     0.0000E+00
       7.15       -91.7950     0.0000E+00
       7.16       -91.6911     0.0000E+00
       7.17       -91.5860     0.0000E+00
       7.18       -91.4793     0.0000E+00
       7.19       -91.3713     0.0000E+00
       7.20       -91.2617     0.0000E+00
       7.21       -91.1509     0.0000E+00
       7.22       -91.0384     0.0000E+00
